SUBUSERNAME,LATITUDE,LONGITUDE, PROVIDER,TIME
6550505177746563,28.6130792285,77.3769350161,gps,1530085459190
6550505177746563,28.6130792285,77.3769350161,gps,1530085459190
6550505177746563,28.6130792285,77.3769350161,gps,1530085459190
6550505177746563,28.6130792285,77.3769350161,gps,1530085459190
6550505177746563,28.69412067,77.3420377399,gps,1530130355000
6550505177746563,28.69412067,77.3420377399,gps,1530130355000
6550505177746563,28.67696795,77.3599403099,gps,1530333239000
6550505177746563,28.67696795,77.3599403099,gps,1530333239000
6550505177746563,28.6960626999,77.3384177199,gps,1530505910000
6550505177746563,28.6960626999,77.3384177199,gps,1530505910000
6550505285536563,20.24795743,85.84119121,gps,1528604888000
6550507083828163,27.2066472217,78.0222463276,gps,1528430639611
6550507083828163,27.2066472217,78.0222463276,gps,1528430639611
6550507083828163,27.2065599473,78.0225109936,gps,1528450283784
6550507083828163,27.2064161275,78.0223768215,gps,1528472143968
6550507083828163,27.2064394625,78.0223490876,gps,1528494545057
6550507083828163,27.2065214447,78.0224099462,gps,1528515390198
6550507083828163,27.2064876176,78.0222585582,gps,1528524281000
6550507083828163,27.2065522888,78.0222446874,gps,1528516920788
6550507083828163,27.2063293298,78.022320417,gps,1528602493585
6550507083828163,27.2065124865,78.0224102546,gps,1528607508347
6550507083828163,27.2064229105,78.0222615942,gps,1528565659991
6550507083828163,27.2064413895,78.0222139645,gps,1528624856989
6550507083828163,27.2063004091,78.0221210488,gps,1528648757247
6550507083828163,27.2065588238,78.0221104544,gps,1528618584976
6550507083828163,27.206290477,78.0222055975,gps,1528677055571
6550507083828163,27.2064351087,78.0224823317,gps,1528642889275
6550507083828163,27.206376683,78.0222733895,gps,1528564616000
6550507083828163,27.2064069824,78.0223206032,gps,1528564837999
6550507083828163,27.2064843204,78.0222703598,gps,1528538779999
6550507083828163,27.2064801322,78.0221791452,gps,1528560379999
6550507083828163,27.2064193757,78.0222132952,gps,1528819294000
6550507083828163,27.206290477,78.0222055975,gps,1528677055571
6550507083828163,27.2065374725,78.0220881251,gps,1528763452365
6550507083828163,27.2058670835,78.0217959902,gps,1528768464062
6550507083828163,27.2064499167,78.022107078,gps,1528964245891
6550507083828163,27.2062382078,78.0223124335,gps,1528849859041
6550507083828163,27.2064499167,78.022107078,gps,1528964245891
6550507083828163,27.2055334176,78.0217541257,gps,1528898230982
6550507083828163,27.2061734994,78.0220832366,gps,1528907863519
6550507083828163,27.2065913928,78.0221928152,gps,1528992207082
6550507083828163,27.2064499167,78.022107078,gps,1528964245891
6550507083828163,27.2064608909,78.0222345214,gps,1529044318000
6550507083828163,27.2066221694,78.022230542,gps,1529021384656
6550507083828163,27.2064499167,78.022107078,gps,1528964245891
6550507083828163,27.2064608909,78.0222345214,gps,1529044318000
6550507083828163,27.2066221694,78.022230542,gps,1529021384656
6550507083828163,27.2065913928,78.0221928152,gps,1528992207082
6550507083828163,27.2064825593,78.0222126438,gps,1528892979078
6550507083828163,27.2062050393,78.0222874471,gps,1528883533299
6550507083828163,27.2062382078,78.0223124335,gps,1528849859041
6550507083828163,27.2064825593,78.0222126438,gps,1528892979078
6550507083828163,27.2055334176,78.0217541257,gps,1528898230982
6550507083828163,27.2062050393,78.0222874471,gps,1528883533299
6550507083828163,27.2062382078,78.0223124335,gps,1528849859041
6550507083828163,27.2064825593,78.0222126438,gps,1528892979078
6550507083828163,27.2064825593,78.0222126438,gps,1528892979078
6550507083828163,27.2055334176,78.0217541257,gps,1528898230982
6550507083828163,27.2064499167,78.022107078,gps,1528964245891
6550507083828163,27.2066221694,78.022230542,gps,1529021384656
6550507083828163,27.2065913928,78.0221928152,gps,1528992207082
6550507083828163,27.2064608909,78.0222345214,gps,1529044318000
6550507083828163,27.2065349815,78.0224355252,gps,1529048334845
6550507083828163,27.2063655441,78.0223183094,gps,1529085413802
6550507083828163,27.2062245662,78.0228044073,gps,1529069880229
6550507083828163,27.2064759265,78.0222418746,gps,1529085870706
6550507083828163,27.2062382078,78.0223124335,gps,1528849859041
6550507083828163,27.2064825593,78.0222126438,gps,1528892979078
6550507083828163,27.2064825593,78.0222126438,gps,1528892979078
6550507083828163,27.2062050393,78.0222874471,gps,1528883533299
6550507083828163,27.2064608909,78.0222345214,gps,1529044318000
6550507083828163,27.2066221694,78.022230542,gps,1529021384656
6550507083828163,27.2065913928,78.0221928152,gps,1528992207082
6550507083828163,27.2064499167,78.022107078,gps,1528964245891
6550507083828163,27.2055334176,78.0217541257,gps,1528898230982
6550507083828163,27.2065091116,78.0222861,gps,1529516767636
6550507083828163,27.2063820601,78.0223421377,gps,1529498678957
6550507083828163,27.206478973,78.0220903012,gps,1529538618125
6550507083828163,27.206478973,78.0220903012,gps,1529538618125
6550507083828163,27.2068152685,78.0223639296,gps,1529395711237
6550507083828163,27.2063541338,78.0221031074,gps,1529418008534
6550507083828163,27.2058874692,78.0225936302,gps,1529427973799
6550507083828163,27.2048448,78.0215888,network,1529386807518
6550507083828163,27.2064598302,78.0222024135,gps,1529416710765
